Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1971-04-18,6.707,2.286,Apr
1971-04-19,2.988,0.508,Apr
1971-04-20,9.742,0.508,Apr
1971-04-21,3.473,0.254,Apr
1971-04-22,2.094,2.540,Apr
1971-04-23,4.628,1.270,Apr
1971-04-24,6.599,5.588,Apr
1971-04-25,24.810,12.446,Apr
1971-04-26,1.637,4.318,Apr
1971-04-27,0.488,0.254,Apr
1971-04-28,1.970,0.508,Apr
1971-04-29,10.412,4.826,Apr
1971-04-30,8.111,0.508,Apr
1971-05-01,6.104,4.064,May
1971-05-02,26.844,29.718,May
1971-05-03,14.103,9.398,May
1971-05-04,2.607,0.254,May
1971-05-05,16.244,6.858,May
1971-05-06,46.497,46.990,May
1971-05-07,2.399,10.414,May
1971-05-08,0.023,0.000,May
1971-05-09,1.390,0.000,May
1971-05-10,21.108,12.954,May
1971-05-11,2.058,6.096,May
1971-05-12,10.600,18.542,May
1971-05-13,6.870,11.938,May
1971-05-14,1.327,0.762,May
1971-05-15,0.000,0.762,May
1971-05-16,0.369,1.270,May
1971-05-17,7.860,0.508,May
1971-05-18,2.771,8.128,May
1971-05-19,1.697,1.524,May
1971-05-20,19.159,23.114,May
1971-05-21,12.038,19.304,May
1971-05-22,12.672,7.112,May
1971-05-23,0.020,0.508,May
1971-05-24,0.028,0.000,May
1971-05-25,0.137,1.270,May
1971-05-26,12.194,2.032,May
1971-05-27,13.479,14.732,May
1971-05-28,25.092,17.018,May
1971-05-29,3.582,7.620,May
1971-05-30,32.350,26.924,May
1971-05-31,32.212,54.864,May
1971-06-01,26.708,53.594,Jun
1971-06-02,12.271,31.496,Jun
1971-06-03,5.441,6.096,Jun
1971-06-04,0.000,0.000,Jun
1971-06-05,0.000,0.000,Jun
1971-06-06,0.000,0.000,Jun
1971-06-07,0.000,0.254,Jun
1971-06-08,0.000,0.254,Jun
1971-06-09,0.611,3.302,Jun
1971-06-10,4.172,1.778,Jun
1971-06-11,3.478,14.732,Jun
1971-06-12,3.078,4.318,Jun
1971-06-13,0.178,0.762,Jun
1971-06-14,1.125,1.016,Jun
1971-06-15,1.204,1.016,Jun
1971-06-16,0.050,1.016,Jun
1971-06-17,3.638,2.540,Jun
1971-06-18,2.003,1.016,Jun
1971-06-19,0.577,2.286,Jun
1971-06-20,0.853,2.286,Jun
1971-06-21,5.320,20.066,Jun
1971-06-22,0.305,0.254,Jun
1971-06-23,0.001,0.000,Jun
1971-06-24,2.440,0.000,Jun
1971-06-25,0.004,0.000,Jun
1971-06-26,0.716,0.254,Jun
1971-06-27,0.064,3.302,Jun
1971-06-28,3.820,5.842,Jun
1971-06-29,12.897,19.812,Jun
1971-06-30,37.826,15.494,Jun
1971-07-01,7.936,13.208,Jul
1971-07-02,16.765,4.318,Jul
1971-07-03,3.150,2.032,Jul
1971-07-04,0.001,0.000,Jul
1971-07-05,0.005,0.000,Jul
1971-07-06,0.071,0.254,Jul
1971-07-07,0.026,0.000,Jul
1971-07-08,0.114,0.000,Jul
1971-07-09,0.000,0.000,Jul
1971-07-10,0.000,0.000,Jul
1971-07-11,0.003,0.254,Jul
1971-07-12,0.039,0.000,Jul
1971-07-13,0.095,18.796,Jul
1971-07-14,9.625,4.318,Jul
1971-07-15,10.526,0.000,Jul
1971-07-16,0.724,1.270,Jul
1971-07-17,5.206,0.762,Jul
1971-07-18,2.124,2.286,Jul
1971-07-19,0.044,7.366,Jul
1971-07-20,12.779,11.684,Jul
1971-07-21,0.000,0.000,Jul
1971-07-22,0.001,0.000,Jul
1971-07-23,2.209,6.604,Jul
